epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,900.615,0.84417,1.75687,0.95221,0.95372,0.56275,0.39213,0.36702,0.23088,0.56995,0.37481,0.36053,0.20569,0.90758,2.09271,1.0564,0.99111,0.00054822,0.00054822,0.00054822
31,928.084,0.84814,1.78404,0.95517,0.95201,0.61595,0.37364,0.36704,0.22649,0.61079,0.36774,0.3552,0.19465,0.90653,2.09474,1.04934,0.99058,0.000540607,0.000540607,0.000540607
32,957.255,0.8402,1.77864,0.94695,0.94892,0.56554,0.34944,0.36203,0.22744,0.55887,0.35261,0.36094,0.20496,0.91553,2.13912,1.0606,0.99538,0.000532994,0.000532994,0.000532994
33,985.186,0.82796,1.7408,0.93155,0.94729,0.47294,0.39867,0.37477,0.237,0.4598,0.39383,0.36878,0.21022,0.90634,2.08101,1.09351,0.99745,0.000525381,0.000525381,0.000525381
34,1012.8,0.8434,1.75471,0.93458,0.94986,0.57452,0.37398,0.36948,0.23508,0.57439,0.36621,0.36598,0.2121,0.90913,2.11869,1.05987,0.99015,0.000517768,0.000517768,0.000517768
35,1040.92,0.8384,1.73885,0.93042,0.95068,0.60403,0.38801,0.37556,0.22962,0.5963,0.37382,0.36224,0.20141,0.90945,2.13589,1.08144,0.99132,0.000510155,0.000510155,0.000510155
36,1068,0.84093,1.73177,0.91982,0.94908,0.59493,0.38171,0.38561,0.24405,0.58436,0.37319,0.37225,0.21339,0.90802,2.08406,1.04907,1.00088,0.000502541,0.000502541,0.000502541
37,1094.27,0.81279,1.68752,0.90375,0.94026,0.5968,0.40061,0.39218,0.24083,0.61785,0.3911,0.39042,0.21827,0.92508,2.09432,1.09716,0.99821,0.000494928,0.000494928,0.000494928
38,1120.49,0.82681,1.70385,0.89953,0.94421,0.59258,0.3768,0.37508,0.23386,0.58771,0.36845,0.36577,0.21298,0.90064,2.13937,1.06802,0.99334,0.000487315,0.000487315,0.000487315
39,1147.56,0.82483,1.69128,0.89203,0.94223,0.58287,0.3895,0.3814,0.23404,0.58259,0.38373,0.37366,0.2124,0.92734,2.07994,1.08453,1.00073,0.000479702,0.000479702,0.000479702
40,1174.51,0.82174,1.69523,0.88498,0.94417,0.65728,0.38236,0.39367,0.24535,0.64824,0.37226,0.37919,0.21589,0.91865,2.07723,1.04888,0.9996,0.000472089,0.000472089,0.000472089
41,1201.7,0.82292,1.6994,0.87974,0.94038,0.62604,0.34702,0.36335,0.22638,0.64364,0.3568,0.36076,0.20351,0.92413,2.11604,1.05444,0.99206,0.000464476,0.000464476,0.000464476
42,1228.87,0.82898,1.68806,0.87979,0.94098,0.59192,0.3577,0.3662,0.23265,0.60092,0.35755,0.36516,0.21226,0.90965,2.13099,1.03826,0.99958,0.000456863,0.000456863,0.000456863
43,1255.76,0.82194,1.67173,0.86091,0.94233,0.68028,0.35517,0.39016,0.24183,0.68607,0.35614,0.38646,0.21962,0.88552,2.04918,1.03962,0.98524,0.00044925,0.00044925,0.00044925
44,1282.2,0.8227,1.69251,0.86542,0.94402,0.56803,0.38175,0.36792,0.23003,0.5752,0.37951,0.36068,0.2089,0.90238,2.10517,1.09893,0.99008,0.000441637,0.000441637,0.000441637
45,1308.68,0.80564,1.64096,0.87147,0.93625,0.57825,0.39859,0.38029,0.23928,0.58224,0.40426,0.38069,0.2098,0.88787,2.09652,1.06049,0.98637,0.000434024,0.000434024,0.000434024
46,1334.88,0.82074,1.67338,0.85947,0.93961,0.58679,0.39304,0.39081,0.24154,0.60801,0.38108,0.37936,0.21954,0.90136,2.09115,1.07224,0.99227,0.000426411,0.000426411,0.000426411
47,1361.71,0.80303,1.64112,0.8328,0.93254,0.59074,0.39933,0.37504,0.23802,0.58197,0.39888,0.37105,0.21613,0.89622,2.05857,1.05307,0.99494,0.000418797,0.000418797,0.000418797
48,1388.25,0.81373,1.65152,0.83782,0.93912,0.47547,0.40056,0.38711,0.23697,0.46118,0.39024,0.36693,0.20813,0.9172,2.14979,1.0968,0.99801,0.000411184,0.000411184,0.000411184
49,1414.55,0.80362,1.63102,0.85119,0.93531,0.62978,0.37975,0.38457,0.24015,0.65401,0.3777,0.38109,0.21621,0.89138,2.07199,1.06407,0.99007,0.000403571,0.000403571,0.000403571
50,1441.47,0.82141,1.64788,0.83909,0.93739,0.58937,0.39806,0.37935,0.22989,0.59697,0.40036,0.37893,0.2059,0.91198,2.06439,1.07088,1.00421,0.000395958,0.000395958,0.000395958
51,1468.43,0.78998,1.60349,0.8137,0.93005,0.63923,0.35529,0.3862,0.24227,0.64754,0.36883,0.3891,0.21765,0.89253,2.09068,1.02445,0.9917,0.000388345,0.000388345,0.000388345
52,1495.12,0.80434,1.6439,0.83222,0.93605,0.58922,0.39866,0.3807,0.23784,0.61578,0.37112,0.37414,0.21386,0.91339,2.0879,1.05828,0.99961,0.000380732,0.000380732,0.000380732
53,1521.54,0.78955,1.5891,0.81504,0.92922,0.5592,0.41625,0.38607,0.23983,0.56591,0.40073,0.3753,0.21662,0.89811,2.13091,1.07589,0.99588,0.000373119,0.000373119,0.000373119
54,1547.87,0.79533,1.58505,0.79904,0.93217,0.62722,0.37798,0.39315,0.24615,0.62173,0.37352,0.38562,0.22186,0.8986,2.14722,1.07852,1.00182,0.000365506,0.000365506,0.000365506
55,1574.17,0.80221,1.61386,0.81545,0.93457,0.59282,0.40464,0.38167,0.2392,0.59807,0.3933,0.37422,0.21725,0.91366,2.06753,1.09721,0.99943,0.000357893,0.000357893,0.000357893
56,1600.55,0.79228,1.60412,0.79381,0.9335,0.62072,0.39405,0.39286,0.24663,0.61771,0.38101,0.38417,0.21997,0.88538,2.09538,1.13142,0.98929,0.00035028,0.00035028,0.00035028
57,1626.79,0.79334,1.58658,0.80061,0.93147,0.48036,0.40465,0.39227,0.23948,0.49362,0.35744,0.36758,0.21042,0.89684,2.14172,1.12228,0.99214,0.000342666,0.000342666,0.000342666
58,1653.15,0.7974,1.60382,0.79202,0.92804,0.51125,0.38234,0.38922,0.24112,0.61949,0.37093,0.36853,0.21349,0.90126,2.11919,1.13368,0.99736,0.000335053,0.000335053,0.000335053
59,1680,0.78856,1.56042,0.78363,0.92706,0.61684,0.38271,0.37799,0.23374,0.60166,0.38089,0.37191,0.2117,0.8996,2.16621,1.15959,0.99816,0.00032744,0.00032744,0.00032744
60,1705.92,0.78734,1.57264,0.77552,0.93098,0.552,0.39819,0.38015,0.23894,0.56036,0.39702,0.36983,0.21714,0.89609,2.12988,1.09621,0.99435,0.000319827,0.000319827,0.000319827
61,1732.05,0.78655,1.56027,0.76794,0.92669,0.60858,0.40414,0.39248,0.24559,0.6382,0.39157,0.38769,0.22216,0.89781,2.09266,1.08,0.99754,0.000312214,0.000312214,0.000312214
