epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,1172.36,0.83919,1.7584,0.9459,0.9518,0.58489,0.36044,0.36558,0.21696,0.58346,0.36547,0.35687,0.19638,0.90424,2.10772,1.07367,0.99187,0.00054822,0.00054822,0.00054822
31,1196.52,0.84791,1.78232,0.95758,0.95236,0.5808,0.37558,0.3522,0.21639,0.5711,0.36909,0.34182,0.19181,0.88139,2.12117,1.06996,0.98172,0.000540607,0.000540607,0.000540607
32,1221.31,0.83785,1.77388,0.94412,0.94732,0.6052,0.37811,0.38688,0.23438,0.58909,0.37116,0.36673,0.2054,0.90161,2.14798,1.03381,0.99246,0.000532994,0.000532994,0.000532994
33,1245.64,0.82853,1.74868,0.92912,0.94592,0.57229,0.39619,0.37112,0.22486,0.55769,0.37631,0.35395,0.19311,0.91312,2.11179,1.06474,1.00288,0.000525381,0.000525381,0.000525381
34,1269.5,0.8425,1.7522,0.93541,0.9493,0.58585,0.36265,0.37696,0.23288,0.571,0.35473,0.35888,0.20617,0.90651,2.1342,1.08846,0.98803,0.000517768,0.000517768,0.000517768
35,1293.36,0.83472,1.73498,0.92339,0.94857,0.59885,0.35599,0.37008,0.22749,0.56959,0.36683,0.36548,0.20242,0.91504,2.11137,1.09225,0.99088,0.000510155,0.000510155,0.000510155
36,1317.26,0.83768,1.73064,0.91697,0.94771,0.62001,0.35746,0.37408,0.23201,0.61356,0.35821,0.37041,0.20444,0.90453,2.07418,1.06776,0.99568,0.000502541,0.000502541,0.000502541
37,1341.18,0.81042,1.6918,0.89944,0.93899,0.61827,0.38852,0.39892,0.2422,0.60701,0.3807,0.3874,0.21964,0.91342,2.09675,1.07494,0.99551,0.000494928,0.000494928,0.000494928
38,1365.24,0.82769,1.70464,0.89885,0.94418,0.55592,0.40456,0.38485,0.23659,0.55058,0.38345,0.37765,0.21194,0.89872,2.10594,1.05508,0.98638,0.000487315,0.000487315,0.000487315
39,1389.84,0.82639,1.69534,0.8933,0.94198,0.64014,0.37969,0.38843,0.23904,0.64902,0.36243,0.38367,0.21385,0.90603,2.11834,1.05843,0.99287,0.000479702,0.000479702,0.000479702
40,1414.31,0.81932,1.69284,0.8811,0.94217,0.6265,0.38677,0.3951,0.2423,0.61726,0.37769,0.38976,0.21176,0.90511,2.06843,1.04341,0.98798,0.000472089,0.000472089,0.000472089
41,1439.18,0.81932,1.69092,0.87166,0.93863,0.56512,0.39895,0.37407,0.23068,0.59359,0.37758,0.37361,0.2075,0.92719,2.09298,1.0746,0.99638,0.000464476,0.000464476,0.000464476
42,1463.85,0.82704,1.68699,0.87861,0.94096,0.62608,0.39667,0.39857,0.24117,0.64112,0.37596,0.38388,0.21823,0.91176,2.11282,1.02294,0.99608,0.000456863,0.000456863,0.000456863
43,1488.62,0.8234,1.67033,0.8637,0.94085,0.50131,0.40328,0.39756,0.24136,0.49245,0.39549,0.38423,0.21753,0.91282,2.06343,1.07297,0.99196,0.00044925,0.00044925,0.00044925
44,1513.28,0.82365,1.68906,0.8639,0.9431,0.62122,0.39531,0.38061,0.23004,0.59017,0.39297,0.36869,0.20605,0.88296,2.12798,1.12109,0.98346,0.000441637,0.000441637,0.000441637
45,1538.51,0.80351,1.63517,0.8612,0.936,0.59806,0.40746,0.39285,0.23781,0.59541,0.40468,0.38952,0.21646,0.88338,2.10108,1.05315,0.99124,0.000434024,0.000434024,0.000434024
46,1615.87,0.82331,1.66759,0.85474,0.94124,0.57622,0.39342,0.38011,0.23619,0.57422,0.38729,0.37607,0.20581,0.8868,2.14183,1.07094,0.98468,0.000426411,0.000426411,0.000426411
47,1639.21,0.80038,1.63266,0.82833,0.9313,0.51273,0.36979,0.37814,0.22975,0.49728,0.37487,0.37577,0.20852,0.90554,2.12215,1.05114,0.9969,0.000418797,0.000418797,0.000418797
48,1662.76,0.81108,1.65029,0.834,0.93963,0.48255,0.39209,0.3904,0.2419,0.5231,0.35089,0.38587,0.21331,0.91224,2.10249,1.05071,0.99669,0.000411184,0.000411184,0.000411184
49,1686.65,0.80598,1.63016,0.84963,0.93654,0.60568,0.39439,0.39275,0.24328,0.5996,0.3696,0.37292,0.21729,0.88706,2.12188,1.03194,0.98719,0.000403571,0.000403571,0.000403571
50,1710.87,0.82186,1.64773,0.83489,0.9381,0.61899,0.38834,0.3912,0.23623,0.62074,0.39893,0.38572,0.21169,0.92218,2.0901,1.05951,1.00376,0.000395958,0.000395958,0.000395958
51,1735.34,0.78959,1.60096,0.8075,0.92951,0.59138,0.41388,0.39739,0.24175,0.58921,0.41044,0.38855,0.21468,0.90275,2.10166,1.02237,0.99459,0.000388345,0.000388345,0.000388345
52,1759.96,0.80279,1.63168,0.82027,0.93653,0.59737,0.42289,0.38896,0.24111,0.60958,0.40614,0.37637,0.21543,0.90192,2.10203,1.08138,0.99178,0.000380732,0.000380732,0.000380732
53,1784.93,0.79099,1.58537,0.81099,0.92996,0.6184,0.39397,0.39067,0.24298,0.60738,0.4065,0.38308,0.21632,0.92012,2.11729,1.01949,0.99783,0.000373119,0.000373119,0.000373119
54,1809.99,0.79645,1.58149,0.79926,0.93186,0.61743,0.37573,0.38311,0.23697,0.60748,0.36692,0.36832,0.21273,0.89526,2.13425,1.10352,0.99677,0.000365506,0.000365506,0.000365506
55,2852.94,0.80269,1.60349,0.81925,0.93464,0.60131,0.41415,0.40058,0.24513,0.61261,0.40542,0.39002,0.21858,0.91523,2.09849,1.11162,1.00124,0.000357893,0.000357893,0.000357893
56,2876.61,0.79421,1.60562,0.79453,0.93397,0.62347,0.39136,0.38946,0.24066,0.61906,0.37497,0.38151,0.21196,0.8855,2.12367,1.09835,0.98816,0.00035028,0.00035028,0.00035028
57,2899.99,0.7954,1.58,0.79411,0.93268,0.58416,0.37532,0.39754,0.23794,0.55726,0.35847,0.3795,0.21493,0.89076,2.1793,1.10954,0.99058,0.000342666,0.000342666,0.000342666
